mall,type,shop_category_id,shop_category_name,update_date
OlympianCity,Shopping,1,Audio-Visual & Electrical Appliances,2022-01-16
OlympianCity,Shopping,2,Banking Services,2022-01-16
OlympianCity,Shopping,3,Beauty & Cosmetics​​,2022-01-16
OlympianCity,Shopping,4,Health Products & Personal Care​​,2022-01-16
OlympianCity,Shopping,5,"Books, Stationery & Education​​",2022-01-16
OlympianCity,Shopping,6,Cinema & Entertainment​​,2022-01-16
OlympianCity,Shopping,8,"Department Stores, Supermarkets and Convenience Stores​​",2022-01-16
OlympianCity,Shopping,9,Fashion​​,2022-01-16
OlympianCity,Shopping,10,Furniture & Lifestyle​​,2022-01-16
OlympianCity,Shopping,11,"Jewellery, Watches, Optical & Accessories​​",2022-01-16
OlympianCity,Shopping,12,Kid's Wear & Toys​​,2022-01-16
OlympianCity,Shopping,13,Shoes & Bags​​,2022-01-16
OlympianCity,Shopping,14,Sportswear & Equipment​​,2022-01-16
OlympianCity,Shopping,15,Telecom​​,2022-01-16
OlympianCity,Shopping,17,Others​​,2022-01-16
OlympianCity,Dining,7,Confectionery & Deli,2022-01-16
OlympianCity,Dining,18,Asian Cuisine,2022-01-16
OlympianCity,Dining,19,Chinese Cuisine,2022-01-16
OlympianCity,Dining,21,Western Cuisine,2022-01-16
OlympianCity,Dining,20,Café & Dessert,2022-01-16
