mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
LanghamPlace,Shopping,53,AAPE BY A BATHING APE,AAPE BY A BATHING APE,01 & 21,5F,35149377,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,14,Fashion,,2022-01-02
LanghamPlace,Shopping,309,Active Ride Shop,Active Ride Shop,02,5F,23839186,Mon - Thu: 12:00 - 21:00;Fri - Sun & Public Holidays: 12:00 - 22:00,,1,7,Sportswear,,2022-01-02
LanghamPlace,Shopping,10,adidas Originals,adidas Originals,09,8F,35144109,Mon - Sun & Public Holidays: 11:00 - 22:30,,1,7,Sportswear,,2022-01-02
LanghamPlace,Shopping,11,adidas Sportswear Collective Store,adidas Sportswear Collective Store,38-39,1F,23379883,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,7,Sportswear,,2022-01-02
LanghamPlace,Shopping,54,agnés b.,agnés b.,28-33,3F,35144311,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,14,Fashion,,2022-01-02
LanghamPlace,Shopping,350,ALGENIST at LANGHAM BEAUTY,ALGENIST at LANGHAM BEAUTY,LANGHAM BEAUTY,2F,31893100,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,17,Beauty,,2022-01-02
LanghamPlace,Dining,230,A-1 Bakery,A-1 Bakery,02,B2F,26341188,Mon - Sun & Public Holidays: 08:00 - 22:00,,1,2,Confectionery,,2022-01-02
LanghamPlace,Dining,102,agnés b. Café,agnés b. Café,28-33,3F,28454388,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,4,Café & Deli,,2022-01-02
LanghamPlace,Dining,317,Aroma Truffle Pop-up Store,Aroma Truffle限定店,K301,3F,,Mon - Sun & Public Holidays: 11:00 - 23:00,,,2,Confectionery,,2022-01-02
LanghamPlace,Dining,286,Ayako Drink Pop-up Store,彩子限定店,K901,9F,,Mon - Sun & Public Holidays: 11:00 - 23:00,,,2,Confectionery,,2022-01-02
LanghamPlace,Dining,231,Bamboo Thai,Bamboo Thai,02-03,8F,21119948,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,5,Asian,,2022-01-02
LanghamPlace,Dining,85,BEE CHENG HIANG,美珍香,36,B2F,35144018,Mon - Sun & Public Holidays: 10:00 - 23:00,,1,2,Confectionery,,2022-01-02
